Site ID,Chloride as Cl,Calcium (Total),Total Magnesium,Sodium as Na,Potassium as K,Salinity as EC@25 (lab),Date,pH
" ""100017",91.0,68.0,12.0,58.0,2.0,759.0,1976-05-25,8.07
" ""100017",94.0,74.0,12.0,55.0,2.0,797.0,1976-05-26,8.1
" ""100017",91.0,72.0,12.0,56.0,2.0,778.0,1976-06-01,8.1
" ""100017",82.0,68.0,11.0,58.0,2.0,725.0,1976-06-22,8.18
" ""100017",121.0,63.0,10.0,66.0,4.0,777.0,1976-06-09,8.2
" ""100017",108.0,78.0,15.0,85.0,4.0,919.0,1976-07-15,8.11
" ""100017",123.0,6.0,10.0,92.0,4.0,578.0,1978-05-02,8.05
" ""100017",159.0,11.0,10.0,89.0,3.0,615.0,1980-06-19,7.4
" ""100017",110.0,82.0,16.0,86.0,3.5,900.0,1994-11-22,7.9
" ""100017",110.0,83.0,16.0,86.0,3.7,900.0,1994-12-20,7.4
" ""100017",110.0,75.0,15.0,79.0,3.4,900.0,1995-02-01,7.4
" ""100018",90.0,76.0,9.0,52.0,2.0,720.0,1976-07-28,7.85
" ""100018",147.0,57.0,11.0,91.0,3.0,824.0,1976-08-16,8.43
" ""100018",111.0,46.0,8.0,70.0,2.0,665.0,1976-08-04,7.96
" ""100018",125.0,57.0,9.0,80.0,2.0,759.0,1976-08-04,7.96
" ""100018",150.0,87.0,14.0,100.0,2.0,1027.0,1976-09-27,8.16
" ""100018",145.0,46.0,12.0,101.0,1.0,841.0,1976-09-27,8.16
" ""100018",144.0,75.0,13.0,103.0,1.0,945.0,1976-09-28,7.9
" ""100018",136.0,9.0,10.0,92.0,2.0,600.0,1978-05-02,7.89
" ""100018",138.0,6.0,10.0,96.0,1.0,580.0,1980-06-19,7.7
" ""100018",130.0,97.0,12.0,89.0,0.9,970.0,1994-11-22,7.8
" ""100018",130.0,100.0,12.0,94.0,1.1,970.0,1994-12-20,7.4
" ""100018",120.0,81.0,11.0,81.0,0.9,960.0,1995-02-01,7.3
" ""100019",298.0,38.0,26.0,164.0,3.0,1210.0,1976-10-26,6.94
