site_id,chloride_cl,calcium_total,magnesium_total,sodium_na,potassium_k,salinity_ec,value_date,ph_value,nearest_suburb
6026,12496,333,883,6930,137,35000,1979/3/28,5.45,Nyarrin
6026,57000,250,3500,35000,330,120000,1986/2/27,3.5,Nyarrin
6034,24800,243,1727,13649,192,65200,1979/3/28,2.4,Chillingollah
6095,29400,271,2093,16817,189,73700,1979/3/28,7.82,Chinkapook
6146,21000,2100,2400,12000,8.9,54000,1989/8/15,7.2,Fish Point
7028,1037,88,57,926,2,4700,1978/12/20,8.2,Colignan
26157,8500,230,560,5400,56,26000,1991/5/3,5.1,Nyah
26283,33000,500,3000,20000,190,79000,1990/12/4,3.9,Kulwin
36408,3500,146,142,1950,20,10300,2011/11/24,7.03,Raywood
36415,12200,772,1670,3840,35,41200,2011/11/24,6.34,Serpentine
40603,31180,737,2394,17113,160,76300,1979/3/28,7.45,Waitchie
40612,3340,115,166,1987,39,10900,1979/3/28,8.32,Ninda
40616,20360,353,1219,12197,139,55800,1979/3/28,4.52,Sea Lake
40619,21120,122,1689,11650,100,56100,1979/3/28,2.71,Nandaly
40623,30380,1784,1565,16571,101,75600,1979/3/28,7.46,Tyrrell
40631,22420,311,1628,12562,171,58500,1979/3/28,3.33,Lake Tyrrell
40650,25460,45,1134,15306,207,65500,1979/8/29,2.83,Cocamba
40658,15980,234,1097,9130,66,44400,1979/3/28,3.35,Ultima East
40658,16000,250,1125,9375,50,43000,1982/4/15,3.35,Ultima East
46148,2200,120,150,1200,32,7800,1989/9/12,7.8,Arapiles
46195,550,25,44,340,7.3,2100,1987/5/29,7.2,Kialla West
46195,671,13,36,485,7,7890,2009/9/14,7.38,Kialla West
46489,120,3.4,15,85,4.6,580,1988/7/27,8.1,Blowhard
46962,11000,270,1400,5600,33,30000,1989/12/6,6.6,Bailieston
47063,190,10,4.7,250,19,1300,1990/5/10,8.7,Forge Creek
47063,190,9,4.6,250,19,1300,1990/5/10,8.7,Forge Creek
47063,190,9.3,4.7,260,19,1300,1990/5/10,8.7,Forge Creek
47192,1060,124,335,290,5,4500,2009/4/30,7.33,Sebastopol
47771,400,19,16,210,4.1,1400,1987/1/29,7.8,Benwerrin
47773,230,23,13,120,4.4,910,1986/9/3,7.6,Deans Marsh
48048,5,5,7,9,2,133,1971/8/18,7.23,Ovens
48048,4,2.5,3.3,7.7,0.5,78,1987/6/12,6.6,Ovens
48069,12,2.3,2.9,13,3.8,110,1987/11/10,7.1,Eurobin
49426,1184,120,103,680,14,4510,1976/8/28,7.38,Benayeo
49426,1300,160,120,810,13,4700,1988/3/8,8.3,Benayeo
49426,1200,130,100,700,9.1,4600,1990/3/21,7.5,Benayeo
49426,1100,130,100,680,11,4400,1993/3/3,7.9,Benayeo
49426,1100,120,96,640,9.2,4300,1996/3/20,8.1,Benayeo
49426,1210,122,96,589,14,4390,2002/3/8,7.48,Benayeo
49426,1100,120,96,630,10,4400,2008/9/9,7.3,Benayeo
49563,7000,69,330,3800,51,20000,1989/8/16,8.8,Benjeroop
50333,10000,360,670,5900,14,31000,1989/8/2,7.5,Pental Island
50349,12000,460,710,6000,71,32000,1991/6/5,7.5,Berriwillock
50972,8930,384,761,4880,34,25929,1973/4/13,7.47,Yando
50972,3540,8,141,2968,13,13100,1980/9/9,8.55,Yando
50972,3630,16,129,2947,14,13400,1981/3/11,8.8,Yando
50972,3600,6,128,3022,7,13200,1981/9/9,8.9,Yando
50972,3900,7.4,110,3100,9.6,13000,1984/12/12,9.3,Yando
50978,15000,370,1400,8900,110,40000,1986/11/13,7.7,Barraport
50978,16000,380,1400,9200,110,43000,1986/11/19,6.8,Barraport
50978,16000,450,1500,9900,120,44000,1986/11/25,7.4,Barraport
50978,17000,450,1500,9100,98,44000,1986/12/29,7.6,Barraport
50978,17000,450,1500,9100,98,44000,1986/12/29,7.6,Barraport
